PRD_EAN13;PRD_NOM;CHRONICITY_SCORE
3400936751934.0;DONORMYL 15MG CPR BTE 10;2.0
3400936751934.0;DONORMYL 15MG CPR SECABLE 10;2.0
3400936751934.0;DONORMYL CPR TB10;2.0
3400936751934.0;DONORMYL 15MG CPR SECABLE 10;2.0
3400936751934.0;DONORMYL 15MG CPR SEC T/10;2.0
3400936751934.0;DONORMYL CPR TB10;2.0
3400936751934.0;DONORMYL CPR 10;2.0
3400936751934.0;DONORMYL CPR SECAB 10@;2.0
3400936751934.0;DONORMYL CPR PELLI SEC B/10;2.0
3400936751934.0;DONORMYL CPR TB10;2.0
3400936751934.0;DONORMYL 15MG CPR SECABLE 10;2.0
3400936751934.0;DONORMYL 15MG CPR TB10;2.0
3400936751934.0;DONORMYL CPR SECABLE 10;2.0
3400936751934.0;DONORMYL 15MG CPR TB10;2.0
3400936751934.0;DONORMYL CPR SECAB 10;2.0
3400936751934.0;DONORMYL CPR SECAB 10;2.0
3400936751934.0;DONORMYL 15MG CPR SECABLE 10;2.0
3400936751934.0;DONORMYL CPR TB10;2.0
3400936751934.0;DONORMYL 15MG CPR SECABLE 10;2.0
3400936751934.0;DONORMYL 15MG CPR SECABLE 10;2.0
3400936751934.0;DONORMYL CPR SECAB 10;2.0
3400936751934.0;DONORMYL 15MG CPR SECABLE 10;2.0
3400936751934.0;DONORMYL 15MG BTE DE 10CP;2.0
3400936751934.0;DONORMYL 15MG CPR SECABLE 10;2.0
3400936751934.0;DONORMYL 15MG CPR SECABLE 10;2.0
3400936751934.0;DONORMYL 15MG CPR TB10;2.0
3400936751934.0;DONORMYL 15MG CP SEC 10;2.0
3400936751934.0;DONORMYL 15MG CPR SECABLE 10;2.0
3400936751934.0;DONORMYL 15MG CPR SEC T/10;2.0
3400936751934.0;DONORMYL CPR SECAB 10;2.0
3400936751934.0;DONORMYL 15MG CPR SECABLE 10;2.0
3400936751934.0;DONORMYL CPR SECAB 10;2.0
3400936751934.0;DONORMYL 15MG CPR PESE T/10;2.0
3400936751934.0;DONORMYL 15MG CPR SEC10;2.0
3400936751934.0;DONORMYL 10CPR 15MG;2.0
3400936751934.0;DONORMYL 15MG 10COMP SECABLES;2.0
3400936751934.0;DONORMYL 15MG CPR SECABLE 10;2.0
3400936751934.0;DONORMYL 15MG CPR PESE T/10;2.0
3400936751934.0;DONORMYL 15MG CPR S C B/10;2.0
3400936751934.0;DONORMYL 15MG CPR TB10;2.0
3400936751934.0;DONORMYL 15MG CPR PESE T/10;2.0
3400936751934.0;DONORMYL 15MG CPR SECABLE 10;2.0
3400936751934.0;DONORMYL CPR TB10;2.0
3400936751934.0;DONORMYL 15MG CPR SECABLE 10;2.0
3400936751934.0;DONORMYL 15MG CP 10;2.0
3400936666795.0;IMODIUM LINGUAL 12 LYOP;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYO ORAL 12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOPH OR P;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOT BT12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOT BT12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOC 12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOC 12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOC 12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOPH OR PLQ/12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOC 12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYO ORAL 12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOT BT12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOT BT12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOC 12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYO ORAL 12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYO BT12*;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYO ORAL 12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOT BT12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOC 12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOT BT12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOC 12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOT BT12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOPH OR B/12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOC 12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOPH OR PLQ/12;2.0
3400936666795.0;IMODIUMLINGUAL LYOPH OR PLQ/12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOC 12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOT BT12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYO ORAL 1234;2.0
3400936666795.0;IMODIUM LINGUAL CP 2MG;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOC 12;2.0
3400936666795.0;IMODIUM LINGUAL 2MG LYOPH B/12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOT BT12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOC 12;2.0
3400936666795.0;IMODIUM 2MG LINGUAL BTE12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOT BT12;2.0
3400936666795.0;IMODIUMLINGUAL BT12@;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOPH OR PLQ/12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOT BT12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOC 12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOT BT12;2.0
3400936666795.0;IMODIUM LINGUAL 12 LYOCS;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOC 12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOC 12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOC 12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOT BT12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOT BT12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOC 12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOC 12;2.0
3400936666795.0;IMODIUM LINGUAL 12 CPR LYOPH;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOT BT12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOC 12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOC 12;2.0
3400936666795.0;IMODIUM LINGUAL 2MG 12CP;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOC B/12;2.0
3400936666795.0;IMODIUM LINGUAL 12CP;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOC 12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOPH OR PLQ/12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOPH OR PLQ/12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG  12 CPR LYO;2.0
3400936666795.0;IMODIUM LINGUAL BT12LYOCS;2.0
3400936666795.0;IMODIUM LINGUAL CP;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOPH OR PLQ/12;2.0
3400936666795.0;IMODIUMLINGUAL LYOC 2MG BT12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOT BT12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOPH OR PLQ/12 REF 67;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOC 12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG LYOC 12;2.0
3400936666795.0;IMODIUMLINGUAL 2MG 12;2.0
3400939035765.0;LYSOPAINE SANS SUCRE CPR SUC 2T/18;2.0
3400939035765.0;LYSOPAINE  CETYLPYR CLASSIQ 36 PAST SS SU;2.0
3400939035765.0;LYSOPAINE M.GORG S/SUC CPR18X2;2.0
3400939035765.0;LYSOPAINE M.GORG S/SUC CPR18X2;2.0
3400939035765.0;LYSOPAINE MENTHE;2.0
3400939035765.0;LYSOPAINE CETYL CPR SUCER S/S18X2;2.0
3400939035765.0;LYSOPAINE CPR A SUCER S/S 36;2.0
3400939035765.0;LYSOPAINE M.GORG S/SUC CPR18X2;2.0
3400939035765.0;LYSOPAINE M.GORG S/SUC CPR18X2;2.0
3400939035765.0;LYSOPAINE CETYL CPR SUC MX GORGE SS SUC 2;2.0
3400939035765.0;LYSOPAINE 2X18 CP;2.0
3400939035765.0;LYSOPAINE COMP SUCER BT36;2.0
3400939035765.0;LYSOPAINE SS BTE DE 36 COMPRIMES;2.0
3400939035765.0;LYSOPAINE MAUX GORGE S/SUC CPR18X2;2.0
3400939035765.0;LYSOPAINE CLASSIQUE  SSUC 40;2.0
3400939035765.0;LYSOPAINE SANS SUCRE 36 CP RBP;2.0
3400939035765.0;LYSOPAINE CPR A SUCER S/S 18X2;2.0
3400939035765.0;LYSOPAINE M.GORG S/SUC CPR18X2;2.0
3400939035765.0;LYSOPAINE 2X18 COMP;2.0
3400939035765.0;LYSOPAINE CLASSIQ CP SSUCRES  2 X 18;2.0
3400939035765.0;LYSOPAINE CPR SUCER GORGE BT36;2.0
3400939035765.0;LYSOPAINE BTE 36 COMP;2.0
3400939035765.0;LYSOPAINE M.GORG S/SUC CPR18X2;2.0
3400939035765.0;LYSOPAINE CPR SUCER GORGE BT36;2.0
3400939035765.0;LYSOPAINE ORL CPR SUB S SU2X18;2.0
3400939035765.0;LYSOPAINE CPR A SUCER S/S 18X2;2.0
3400939035765.0;LYSOPAINE S/SUC CPR TB18X2;2.0
3400939035765.0;LYSOPAINE MENTHE SS SUCRE CPR 36;2.0
3400939035765.0;LYSOPAINE CPR A SUCER S/S 18X2;2.0
3400939035765.0;LYSOPAINE S/SUC CPR TB18X2;2.0
3400939035765.0;LYSOPAINE SS CPR 36A;2.0
3400939035765.0;LYSOPAINE 36CPR;2.0
3400939035765.0;LYSOPAINE CPR SUCER GORGE BT36;2.0
3400939035765.0;LYSOPAINE S/SUC CPR TB18X2;2.0
3400939035765.0;LYSOPAINE S/S  CPR A SUCER 36;2.0
3400939035765.0;LYSOPAINE M.GORG S/SUC CPR18X2;2.0
3400939035765.0;LYSOPAINE CPR A SUCER S/S 40;2.0
3400939035765.0;LYSOPAINE CPR A SUCER S/S 18X2;2.0
3400939035765.0;LYSOPAINE CPR SUCER GORGE BT36;2.0
3400939035765.0;LYSOPAINE CPR A SUCER S/S 18X2;2.0
3400939035765.0;LYSOPAINE S/SUC CPR TB18X2;2.0
3400939035765.0;LYSOPAINE CPR A SUCER S/S 18X2;2.0
3400939035765.0;LYSOPAINE CPR A SUCER S/S 18X2;2.0
3400939035765.0;LYSOPAINE CPR SUCER GORGE BT36;2.0
3400939035765.0;LYSOPAINE CETYL CPR SUCER S/S18X2;2.0
3400939035765.0;LYSOPAINE PAST SUC 2T/18;2.0
3400939035765.0;LYSOPAINE S/SUC CPR TB18X2;2.0
3400939035765.0;LYSOPAINE CPR A SUCER S/S 18X2;2.0
3400939035765.0;LYSOPAINE CPR A SUCER S/S 18X2;2.0
3400939035765.0;LYSOPAINE M.GORG S/SUC CPR18X2;2.0
3400939035765.0;LYSOPAINE 2X18 COMP;2.0
3400939035765.0;LYSOPAINE CETYL CPR SUCER S/S18X2;2.0
3400939035765.0;LYSOPAINE CPR SUC 2T/18;2.0
3400939035765.0;LYSOPAINE SANS SUCRE 2X18 CPR;2.0
3400939035765.0;LYSOPAINE 36 COMP;2.0
3400939035765.0;LYSOPAINE CPR SUCER GORGE 2X18;2.0
3400939035765.0;LYSOPAINE CPR A SUCER S/S 18X2;2.0
3400939035765.0;LYSOPAINE CPR SANS SUCRE 36 MENTHE;2.0
3400939035765.0;LYSOPAINE S/S 36CPR;2.0
3400939035765.0;LYSOPAINE CPR MENTHE BT36CP A SUCER;2.0
3400939035765.0;LYSOPAINE CPR A SUCER S/S 18X2;2.0
3400939035765.0;LYSOPAINE SANS SUCRE CPR SUC 2T/18;2.0
3400939035765.0;LYSOPAINE MX GGE CPR SUC ED SORB SS SUC 2;2.0
3400939035765.0;LYSOPAINE S SUCRE CPR SUC EDUL 2T PP/18;2.0
3400939035765.0;LYSOPAINE M.GORG S/SUC CPR18X2;2.0
3400939035765.0;LYSOPA¤NE CETYL CPR SUC MX GORGE SS SUC 2;2.0
3400939035765.0;LYSOPAINE CETYL CPR SUCER S/S18X2;2.0
3400939035765.0;LYSOPAINE S/SUC CPR TB18X2;2.0
3400939035765.0;LYSOPAINE CPR A SUCER S/S 18X2;2.0
3400939069425.0;DULCOLAX 30 COMP;
3582910089599.0;PHYTOXIL TOUX SS SUC SP AD ENF +2ANS FL/1;
3582910089599.0;PHYTOXIL SP TOUX SS SUCRE AD ENF+2ANS FL/;
3400939069425.0;DULCOLAX DRG BTE/30;
3582910089599.0;PHYTOXIL TOUX SS SUC FL120ML 1;
3400939069425.0;DULCOLAX 5MG CPR BT30;
3582910089599.0;PHYTOXIL TOUX SS SUC FL120ML 1;
3400939069425.0;DULCOLAX CPR DRAG BTE30;
3400939069425.0;DULCOLAX 5MG CPR 30;
3582910089599.0;PHYTOXIL TOUX S/SUCRE 120ML;
3400939069425.0;DULCOLAX 5MG CPR 30;
3582910089599.0;PHYTOXIL TOUX SS SUC FL120ML 1;
3582910089599.0;PHYTOXIL TOUX S/SUCRE 120ML;
3582910089599.0;PHYTOXIL TOUX SS SUC FL120ML 1;
3400939069425.0;DULCOLAX 5MG CPR 30;
3400939069425.0;DULCOLAX DRG 20;
3400939069425.0;DULCOLAX DRG 30 CP;
3582910089599.0;PHYTOXIL TOUX SS SUC FL120ML 1;
3400939069425.0;DULCOLAX 5MG CPR BT30;
3582910089599.0;PHYTOXIL TX SECH FL120ML SSUC;
3400939069425.0;DULCOLAX 5MG CPR 30;
3582910089599.0;PHYTOXIL SIROP SANS SUCRE 120ML;
3400939069425.0;DULCOLAX 5MG BT30 COMP;
3582910089599.0;PHYTOXIL TOUX SS SUC SP AD ENF +2ANS 120M;
3400939069425.0;DULCOLAX 5MG CPR 30;
3582910089599.0;PHYTOXIL SIROP SANS SUCRE 120ML;
3400939069425.0;DULCOLAX DRG BT30;
3582910089599.0;PHYTOXIL TOUX SS SUC AD ENF +2ANS 120ML;
3400939069425.0;DULCOLAX 5MG CPR 30 RBP;
3582910089599.0;PHYTOXIL TOUX SS SUC FL120ML 1;
3400939069425.0;DULCOLAX 5MG CPR 30;
3582910089599.0;PHYTOXIL TOUX SS SUC SP AD ENF +2ANS FL/1;
3400939069425.0;DULCOLAX 5MG CPR BT30;
3582910089599.0;PHYTOXIL TOUX SS SUC FL120ML 1;
3400939069425.0;DULCOLAX 5MG CPR 30;
3582910089599.0;PHYTOXIL SANS SUCRE  120ML;
3400939069425.0;DULCOLAX 5MG CPR 30;
3582910089599.0;PHYTOXIL SANS SUCRE 120 ML;
3582910089599.0;PHYTOXIL TOUX S/SUCRE 120ML;
3582910089599.0;PHYTOXIL TOUX SOL BUV SSUCRE FLCON 120ML;
3400939069425.0;DULCOLAX 5MG CPR 30;
3582910089599.0;PHYTOXIL SS SUCRE 120ML;
3400939069425.0;DULCOLAX 5MG CPR 30;
3582910089599.0;PHYTOXIL SIROP SANS SUCRE 120ML;
3400939069425.0;DULCOLAX 5MG CPR BT30;
3400939069425.0;DULCOLAX 5MG CPR 30;
3582910089599.0;PHYTOXIL TOUX SS SUC SP AD ENF +2ANS FL/1;
3400939069425.0;DULCOLAX 5MG CPR BT30;
3400939069425.0;DULCOLAX 5MG CPR 30;
3400939069425.0;DULCOLAX 5MG CPR 30;
3582910089599.0;PHYTOXIL SIROP SS SUCRE 120ML;
3400939069425.0;DULCOLAX 5MG CPR BT30;
3400939069425.0;DULCOLAX 5MG CPR 30;
3582910089599.0;PHYTOXIL SSUCRE 120ML;
3400939069425.0;DULCOLAX 5MG CPR BT30;
3582910089599.0;PHYTOXIL TOUX SS SUC FL120ML 1;
3400939069425.0;DULCOLAX 5MG CPR 30;
3400939069425.0;DULCOLAX 5MG CPR 30;
3400939069425.0;DULCOLAX 5MG CPR ENR B/30;
3582910089599.0;PHYTOXIL SS SIROP 120 ML;
3400939069425.0;DULCOLAX 5MG CPR BT30;
3582910089599.0;PHYTOXIL TOUX SS SUC FL120ML 1;
3400939069425.0;DULCOLAX 5MG CPR 30;
3582910089599.0;PHYTOXIL SS 120ML;
3400939069425.0;DULCOLAX CPR BTE 30@;
3582910089599.0;PHYTOXIL SIROP SS SUCRE 120 ML;
3400939069425.0;DULCOLAX 5MG CPR GASTRO B/30;
3582910089599.0;PHYTOXIL SS 120ML;
3582910089599.0;PHYTOXIL TOUX SS SUC SP AD ENF +2ANS FL/1;
3582910089599.0;PHYTOXIL TOUX SS SUC FL120ML 1;
3582910089599.0;PHYTOXIL TOUX SS SUC FL120ML 1;
3582910089599.0;PHYTOXIL TOUX SIROP S/S 120ML;
3582910089599.0;PHYTOXIL SIROP SS SUCRE;
3400939069425.0;DULCOLAX 5MG CPR BT30;
3582910089599.0;PHYTOXIL TOUX SS SUC FL120ML 1;
3400939069425.0;DULCOLAX 5MG CPR 30;
3582910089599.0;PHYTOXIL SIROP TOUX SANS SUCRE 120ML;
3400939069425.0;DULCOLAX 5MG CPR 30;
3400939069425.0;DULCOLAX 5MG CPR 30;
3582910089599.0;PHYTOXIL TOUX S/SUCRE 120ML;
3582910089599.0;PHYTOXIL TOUX SS SUC SP AD ENF +2ANS FL/1;
3400939069425.0;DULCOLAX 5MG CPR 30;
3582910089599.0;PHYTOXIL TOUX S/SUCRE 120ML;
3400939069425.0;DULCOLAX 5MG CPR BT30;
3582910089599.0;PHYTOXIL SS SUCRE SIROP 120ML;
3400939069425.0;DULCOLAX 5MG CPR 30;
3582910089599.0;PHYTOXIL SS SUCRE 120ML;
3400939069425.0;DULCOLAX 5MG CPR BT30;
3400939069425.0;DULCOLAX 5MG CPR 30;
3582910089599.0;PHYTOXIL TOUX S/SUCRE 120ML;
3400939069425.0;DULCOLAX 5MG CPR 30;
3400939069425.0;DULCOLAX 5MG CPR 30;
3582910089599.0;PHYTOXIL TOUX S/SUCRE 120ML;
3582910089599.0;PHYTOXIL TOUX SS SUC SP AD ENF +2ANS FL/1;
3400939069425.0;DULCOLAX 5MG CPR BT30;
3582910089599.0;PHYTOXIL TOUX SS SUC FL120ML 1;
3582910089599.0;PHYTOXIL TOUX SS SUC FL120ML 1;
3400939069425.0;DULCOLAX 5MG CPR BT30;
3582910089599.0;PHYTOXIL TOUX SS SUC FL120ML 1;
3582910089599.0;PHYTOXIL TOUX SS SUC FL120ML 1;
3582910089599.0;PHYTOXIL TOUX SS SUC FL120ML 1;
3400939069425.0;DULCOLAX 5MG CPR 30;
3582910089599.0;PHYTOXIL TOUX S/SUCRE 120ML;
3400939069425.0;DULCOLAX 5MG CPR ENRG PLQ/30;
3582910089599.0;PHYTOXIL TOUX SIROP S/S 120ML;
3400939069425.0;DULCOLAX CPR 30;
3582910089599.0;PHYTOXIL TOUX S/SUCRE 120ML;
3582910089599.0;PHYTOXIL SIROP SANS SUCRE 120ML;
3400939069425.0;DULCOLAX 5MG CPR 30;
3582910089599.0;PHYTOXIL TOUX SS SUC SP AD ENF +2ANS FL/1;
3400939069425.0;DULCOLAX CPR 5MG BT30;
3582910089599.0;PHYTOXIL TOUX SS SUC SP AD ENF +2ANS FL/1;
3400939069425.0;DULCOLAX 5MG CPR 30;
3582910089599.0;PHYTOXIL SIROP SS SUCRE 120 ML;
3400939069425.0;DULCOLAX 5MG CPR ENRG PLQ/30;
3400939069425.0;DULCOLAX 5MG 30 CPR;
3582910089599.0;PHYTOXIL SP S/S 120ML;
3400939069425.0;DULCOLAX 5MG BT30CP;
3400939069425.0;DULCOLAX CPS;
3400939069425.0;DULCOLAX 5MG CPR ENR PLQ/30;
3582910089599.0;PHYTOXIL TOUX SS SUC FL120ML 1;
3400939069425.0;DULCOLAX 5MG CPR BT30;
3400939069425.0;DULCOLAX 5MG CPR ENR PLQ/30 REF 370374;
3582910089599.0;PHYTOXIL SANS SUCRE;
3400939069425.0;DULCOLAX 5MG CPR 30;
3582910089599.0;PHYTOXIL TOUX SS SUC FL120ML 1;
3400939069425.0;DULCOLAX 5MG CPR 30;
3582910089599.0;PHYTOXIL TOUX S/SUCRE 120ML;
3400939069425.0;DULCOLAX CP 30;
3582910089599.0;PHYTOXIL TM SS SUCRE 120ML;
3400941631245.0;DOLIPRANETABS 1G BT 8;
3760293914206.0;MEDIEXPERT PROBIO ATB GELU 15;
3400936751934.0;DONORMYL 15MG CPR PESE T/10;2.0
3400936751934.0;DONORMYL 15MG  10CPR SECABLES;2.0
3400936751934.0;DONORMYL 15MG CPR SECABLE 10;2.0
3400941631245.0;DOLIPRANETABS 1 000 MG CPR 8;
3400941631245.0;DOLIPRANETABS 1 GR 8 CP PELL FR;
3400941631245.0;DOLIPRANETABS 1000MG CPR PEL 8;
3400936751934.0;DONORMYL 15MG CPR SECABLE 10;2.0
3400936751934.0;DONORMYL CPR SECABLE BTE DE 10;2.0
3400936751934.0;DONORMYL 15MG CPR SECABLE 10;2.0
3400941631245.0;DOLIPRANETABS 1 000 MG CPR 8;
3760293914206.0;MEDIEXPERT PROBIO ATB GELU 15;
